"file","rpc"
"apps\erp-api\scripts\run-stock-bajo.ts","pgrst_reload_schema"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","crear_pedido_completo"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","get_table_indexes"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","registrar_entrada_stock_atomico"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","reservar_stock_atomico"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","reservar_stock_atomico"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","registrar_entrada_stock_atomico"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","set_tenant_context"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","reservar_stock_atomico"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","registrar_entrada_stock_atomico"
"apps\erp-api\tests\e2e\helpers\supabase-test-client.ts","set_config"
"apps\erp-api\src\shared\supabase\supabase.service.ts","app.set_tenant_context"
"apps\erp-api\src\shared\outbox\outbox.service.ts","get_pending_outbox_events"
"apps\erp-api\src\shared\outbox\outbox.service.ts","mark_outbox_event_processing"
"apps\erp-api\src\shared\outbox\outbox.service.ts","mark_outbox_event_completed"
"apps\erp-api\src\shared\outbox\outbox.service.ts","mark_outbox_event_failed"
"apps\erp-api\src\main.ts","pgrst_reload_schema"
"apps\erp-api\src\shared\integration\financial-integration.service.ts","get_resumen_financiero_mensual"
"apps\erp-api\src\shared\integration\financial-integration.service.ts","get_kpis_financieros"
"apps\erp-api\src\shared\integration\financial-integration.service.ts","get_analisis_crecimiento"
"apps\erp-api\src\shared\jobs\background-jobs.service.ts","acquire_job_lock"
"apps\erp-api\src\shared\jobs\background-jobs.service.ts","release_job_lock"
"apps\erp-api\src\modules\security\security-dashboard.service.ts","generate_rls_security_report"
"apps\erp-api\src\modules\tenants\tenant-management.service.ts","app.set_tenant_context"
"apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","registrar_movimiento_almacen"
"apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","registrar_movimiento_almacen"
"apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","descontar_stock_y_liberar_reserva"
"apps\erp-api\src\modules\inventario\inventario.service.ts","registrar_entrada_stock_atomico"
"apps\erp-api\src\modules\inventario\inventario.service.ts","registrar_movimiento_almacen"
"apps\erp-api\src\modules\inventario\inventario.service.ts","rma_retorno_inventario"
