"function_name","base_name","first_migration","appearances"
"acknowledge_rls_alert","acknowledge_rls_alert","034_configure_rls_alerts.sql",
"acquire_pos_lock","acquire_pos_lock","139__fix_pos_function_public_schema.sql",
"actualizar_stock_reservado","actualizar_stock_reservado","006_funciones_stock.sql",
"add_rls_audit_trigger","add_rls_audit_trigger","033_audit_rls_violations.sql",
"add_tenant_id_if_missing","add_tenant_id_if_missing","025__rls_helpers.sql",
"app.acquire_pos_lock","acquire_pos_lock","115__pos_advisory_lock.sql",
"app.calcular_baseline_usuario","calcular_baseline_usuario","132__adaptive_rate_limiting.sql",
"app.current_tenant_id","current_tenant_id","009_multi_tenant_context_stock.sql",
"app.current_tenant_id_safe","current_tenant_id_safe","009_multi_tenant_context_stock.sql",
"app.current_user_id","current_user_id","009_multi_tenant_context_stock.sql",
"app.detectar_anomalia_rate_limit","detectar_anomalia_rate_limit","132__adaptive_rate_limiting.sql",
"app.has_tenant_context","has_tenant_context","009_multi_tenant_context_stock.sql",
"app.is_superadmin","is_superadmin","009_multi_tenant_context_stock.sql","2"
"app.limpiar_request_logs_antiguos","limpiar_request_logs_antiguos","132__adaptive_rate_limiting.sql",
"app.log_no_tenant_access","log_no_tenant_access","009_multi_tenant_context_stock.sql",
"app.pos_registrar_venta_tx","pos_registrar_venta_tx","111__pos_tx_outbox.sql","6"
"app.release_pos_lock","release_pos_lock","115__pos_advisory_lock.sql",
"app.set_tenant_context","set_tenant_context","056_fix_rls_context_and_auth_policies.sql","2"
"asignar_rol_admin_usuario","asignar_rol_admin_usuario","147__seed_roles_permisos_tenant.sql",
"audit_rls_access","audit_rls_access","033_audit_rls_violations.sql",
"audit_table_changes","audit_table_changes","058_db_audit_triggers_core.sql",
"buscar_ayuda","buscar_ayuda","148__knowledge_base_help_system.sql",
"buscar_por_pii_hash","buscar_por_pii_hash","131__pii_encryption_support.sql",
"calcular_cantidad_pendiente_oc","calcular_cantidad_pendiente_oc","035_compras_completo.sql",
"calcular_proxima_generacion","calcular_proxima_generacion","047_create_plantillas_asientos_table.sql",
"calcular_resultado_ejercicio","calcular_resultado_ejercicio","050_add_calcular_resultado_ejercicio_function.sql",
"calcular_totales_cotizacion_compra","calcular_totales_cotizacion_compra","035_compras_completo.sql",
"calcular_totales_devolucion_proveedor","calcular_totales_devolucion_proveedor","035_compras_completo.sql",
"calcular_totales_orden_compra","calcular_totales_orden_compra","035_compras_completo.sql",
"check_wizard_completion_validity","check_wizard_completion_validity","093__fix_wizard_rls_and_validation.sql",
"cleanup_expired_demo_tenants","cleanup_expired_demo_tenants","142__demo_tenant_support.sql",
"cleanup_old_rls_alerts","cleanup_old_rls_alerts","034_configure_rls_alerts.sql",
"cleanup_old_rls_audit_logs","cleanup_old_rls_audit_logs","033_audit_rls_violations.sql","2"
"cleanup_old_rotation_records","cleanup_old_rotation_records","130__secret_rotation_state.sql",
"confirmar_venta_lotes","confirmar_venta_lotes","128__lotes_series_fefo.sql",
"convertir_cotizacion_a_pedido","convertir_cotizacion_a_pedido","146__cotizaciones_stock_reserva_transaccional.sql",
"copiar_metodos_pago_globales_a_tenant","copiar_metodos_pago_globales_a_tenant","081__metodos_pago_por_tenant.sql",
"crear_documento_desde_cpe","crear_documento_desde_cpe","078__fix_cpe_documentos_integridad.sql","2"
"crear_pedido_completo","crear_pedido_completo","118_atomic_order_creation.sql","2"
"create_demo_tenant","create_demo_tenant","144__demo_create_tenant_rpc.sql","2"
"create_index_if_not_exists","create_index_if_not_exists","064_add_missing_indices_tenant_created.sql",
"create_indices_pedidos","create_indices_pedidos","161__e2e_rpc_tenant_context.sql",
"decrementar_stock_reservado","decrementar_stock_reservado","009_multi_tenant_context_stock.sql","2"
"descontar_stock","descontar_stock","006_funciones_stock.sql",
"descontar_stock_y_liberar_reserva","descontar_stock_y_liberar_reserva","009_multi_tenant_context_stock.sql","3"
"detectar_patrones_sospechosos_pos","detectar_patrones_sospechosos_pos","127_eventos_pos_auditoria.sql",
"diagnostico_cpe_documentos","diagnostico_cpe_documentos","078__fix_cpe_documentos_integridad.sql",
"diagnostico_pos","diagnostico_pos","076__fix_pos_stock_y_detalle.sql",
"diagnostico_seguridad_rls","diagnostico_seguridad_rls","077__habilitar_rls_users_audit_archive.sql",
"disable_rls_alert","disable_rls_alert","034_configure_rls_alerts.sql",
"enable_rls_alert","enable_rls_alert","034_configure_rls_alerts.sql",
"enable_rls_tenant_isolation","enable_rls_tenant_isolation","025__rls_helpers.sql",
"generar_firma_autorizacion","generar_firma_autorizacion","122_autorizaciones_caja.sql",
"generar_numero_comunicacion_baja","generar_numero_comunicacion_baja","082__comunicacion_baja_resumen_diario.sql",
"generar_numero_resumen_diario","generar_numero_resumen_diario","082__comunicacion_baja_resumen_diario.sql",
"generate_rls_security_report","generate_rls_security_report","033_audit_rls_violations.sql",
"get_alert_statistics","get_alert_statistics","034_configure_rls_alerts.sql",
"get_current_tenant_id","get_current_tenant_id","009_multi_tenant_context_stock.sql",
"get_current_user_id","get_current_user_id","009_multi_tenant_context_stock.sql",
"get_demo_days_remaining","get_demo_days_remaining","142__demo_tenant_support.sql",
"get_pending_outbox_events","get_pending_outbox_events","059_create_outbox_events.sql",
"get_table_indexes","get_table_indexes","161__e2e_rpc_tenant_context.sql",
"get_user_role_ids","get_user_role_ids","151__notificaciones_por_rol.sql",
"incrementar_stock_reservado","incrementar_stock_reservado","009_multi_tenant_context_stock.sql","2"
"is_demo_expired","is_demo_expired","142__demo_tenant_support.sql",
"liberar_stock_cotizacion","liberar_stock_cotizacion","146__cotizaciones_stock_reserva_transaccional.sql",
"log_rls_violation","log_rls_violation","033_audit_rls_violations.sql",
"marcar_lotes_vencidos","marcar_lotes_vencidos","128__lotes_series_fefo.sql",
"mark_outbox_event_completed","mark_outbox_event_completed","059_create_outbox_events.sql",
"mark_outbox_event_failed","mark_outbox_event_failed","059_create_outbox_events.sql",
"mark_outbox_event_processing","mark_outbox_event_processing","059_create_outbox_events.sql",
"migrar_cpes_a_documentos","migrar_cpes_a_documentos","078__fix_cpe_documentos_integridad.sql",
"migrar_detalles_ventas_pos_desde_observaciones","migrar_detalles_ventas_pos_desde_observaciones","076__fix_pos_stock_y_detalle.sql",
"obtener_configuracion_efectiva_caja","obtener_configuracion_efectiva_caja","121_configuracion_caja.sql","2"
"obtener_estadisticas_logs_auditoria","obtener_estadisticas_logs_auditoria","063_audit_log_rotation.sql",
"obtener_lotes_fefo","obtener_lotes_fefo","128__lotes_series_fefo.sql",
"obtener_metricas_cajero","obtener_metricas_cajero","126_turnos_analytics.sql",
"obtener_resumen_turnos","obtener_resumen_turnos","124_shift_analytics.sql",
"obtener_siguiente_numero_documento","obtener_siguiente_numero_documento","086__flujo_ventas_completo.sql","2"
"obtener_stock_info","obtener_stock_info","006_funciones_stock.sql",
"obtener_sugerencias_ayuda","obtener_sugerencias_ayuda","148__knowledge_base_help_system.sql",
"obtener_top_cajeros","obtener_top_cajeros","124_shift_analytics.sql",
"pos_registrar_venta_tx","pos_registrar_venta_tx","139__fix_pos_function_public_schema.sql","2"
"prevent_cash_movement_modification","prevent_cash_movement_modification","119__cash_operations_complete.sql",
"procesar_pago_cxc_atomico","procesar_pago_cxc_atomico","057_payment_idempotency_locking.sql",
"procesar_pago_cxp_atomico","procesar_pago_cxp_atomico","057_payment_idempotency_locking.sql",
"procesar_pago_lote","procesar_pago_lote","021_pago_lote_transaction.sql","3"
"public._ensure_rls_if_tenant","_ensure_rls_if_tenant","112__rls_pos_tables.sql",
"public.get_pending_outbox_events","get_pending_outbox_events","163__outbox_status_casefix.sql",
"public.pos_registrar_venta_tx","pos_registrar_venta_tx","163__outbox_status_casefix.sql","4"
"public.trigger_prevenir_stock_negativo","trigger_prevenir_stock_negativo","140__fix_stock_trigger.sql",
"puede_ver_notificacion","puede_ver_notificacion","151__notificaciones_por_rol.sql",
"refrescar_estados_financieros","refrescar_estados_financieros","048_create_materialized_views_estados_financieros.sql",
"registrar_entrada_stock_atomico","registrar_entrada_stock_atomico","062_atomic_stock_entry.sql","3"
"registrar_evento_pos","registrar_evento_pos","127_eventos_pos_auditoria.sql",
"registrar_movimiento_almacen","registrar_movimiento_almacen","016_p3_rma_multialmacen_dashboards.sql",
"registrar_movimiento_caja","registrar_movimiento_caja","119__cash_operations_complete.sql",
"release_pos_lock","release_pos_lock","139__fix_pos_function_public_schema.sql",
"reservar_stock_atomico","reservar_stock_atomico","056_atomic_stock_reservation.sql","4"
"reservar_stock_cotizacion","reservar_stock_cotizacion","146__cotizaciones_stock_reserva_transaccional.sql",
"reservar_stock_lote_fefo","reservar_stock_lote_fefo","128__lotes_series_fefo.sql",
"rma_retorno_inventario","rma_retorno_inventario","016_p3_rma_multialmacen_dashboards.sql",
"rotar_logs_auditoria","rotar_logs_auditoria","063_audit_log_rotation.sql",
"seed_demo_tenant","seed_demo_tenant","143__demo_seed_data.sql",
"seed_permisos_tenant","seed_permisos_tenant","147__seed_roles_permisos_tenant.sql","2"
"seed_plan_cuentas_tenant","seed_plan_cuentas_tenant","079__seed_catalogos_maestros.sql",
"seed_rol_permisos_tenant","seed_rol_permisos_tenant","147__seed_roles_permisos_tenant.sql",
