"table","first_migration","refs_src","refs_test","modules_src","tier"
"empresa_config","000__bootstrap_core_tables.sql","96","0","compras,configuracion,contabilidad,cpe,finanzas,fiscal,gre,inventario,otros,pos,shared,tenants,ventas,web","P0"
"usuarios_sistema","000__bootstrap_core_tables.sql","62","3","auth,compras,otros,shared,tenants,usuarios,ventas","P0"
"outbox_events","000__bootstrap_core_tables.sql","31","2","contabilidad,cpe,finanzas,inventario,pos,rrhh,shared","P0"
"roles","000__bootstrap_core_tables.sql","23","2","otros,tenants,usuarios","P0"
"user_roles","000__bootstrap_core_tables.sql","13","3","auth,otros,tenants,usuarios","P0"
"rol_permisos","000__bootstrap_core_tables.sql","10","0","otros,tenants,usuarios","P0"
"tenants","000__bootstrap_core_tables.sql","9","113","auth,otros,pos,shared","P0"
"audit_log","000__bootstrap_core_tables.sql","6","0","audit,auth,usuarios","P0"
"permisos","000__bootstrap_core_tables.sql","5","0","otros,tenants","P0"
"wizard_progress","000__bootstrap_core_tables.sql","5","0","configuracion","P0"
"productos","000__bootstrap_core_tables.sql","55","36","inventario,otros,shared,ventas","P1"
"sesiones_caja","109__productos_servicios_cajas.sql","46","12","cajas,pos","P1"
"cpe","0525__restore_cpe_table.sql","45","14","cpe,finanzas,gre,otros,shared,sire,ventas","P1"
"asientos_contables","000__bootstrap_core_tables.sql","35","3","cajas,contabilidad,rrhh,shared","P1"
"cotizaciones","000__bootstrap_core_tables.sql","35","0","otros,shared,ventas","P1"
"pedidos_venta","001_crear_tablas_ventas.sql","35","14","gre,inventario,ventas","P1"
"ordenes_compra","000__bootstrap_core_tables.sql","32","9","compras,inventario,otros,shared","P1"
"detalle_asientos","000__bootstrap_core_tables.sql","30","1","cajas,contabilidad,rrhh,shared","P1"
"cuentas_por_pagar","000__bootstrap_core_tables.sql","29","3","compras,finanzas,shared,sire","P1"
"movimientos_bancarios","020_finanzas_completo.sql","28","1","finanzas","P1"
"clientes","000__bootstrap_core_tables.sql","24","24","finanzas,otros,pos,ventas","P1"
"gre_guias","000__bootstrap_core_tables.sql","22","0","gre,otros","P1"
"documentos","000__bootstrap_core_tables.sql","21","0","cpe,finanzas,otros,ventas","P1"
"ventas_pos","000__bootstrap_core_tables.sql","21","19","cajas,otros,pos,shared","P1"
"integration_logs","008_crear_tabla_integration_logs.sql","20","0","audit,cajas,compras,finanzas,gre,inventario,otros,shared","P1"
"orden_compra_detalles","000__bootstrap_core_tables.sql","20","2","compras,inventario,otros","P1"
"proveedores","000__bootstrap_core_tables.sql","20","17","compras,finanzas,inventario,otros","P1"
"sire_files","000__bootstrap_core_tables.sql","20","0","otros,shared,sire","P1"
"cuentas_bancarias","020_finanzas_completo.sql","19","7","finanzas","P2"
"cuentas_por_cobrar","010_aprobaciones_cxc.sql","19","14","finanzas,otros,pos,shared,ventas","P2"
"paises","000__bootstrap_core_tables.sql","19","0","configuracion,cpe,gre,otros,tenants","P2"
"periodos_contables","000__bootstrap_core_tables.sql","19","0","contabilidad,otros","P2"
"plan_cuentas","000__bootstrap_core_tables.sql","18","0","cajas,contabilidad,rrhh,shared","P2"
"planillas","000__bootstrap_core_tables.sql","15","1","rrhh,shared","P2"
"recepciones","035_compras_completo.sql","15","1","compras,inventario","P2"
"notificaciones","000__bootstrap_core_tables.sql","14","0","otros","P2"
"movimientos_inventario","004_movimientos_inventario_ventas.sql","13","18","compras,inventario,ventas","P2"
"conciliaciones_bancarias","022__create_conciliaciones_bancarias.sql","12","0","finanzas","P2"
"empleados","000__bootstrap_core_tables.sql","12","23","rrhh,shared","P2"
"pedidos_venta_detalle","001_crear_tablas_ventas.sql","12","4","inventario,ventas","P2"
"cambios_turno","119__cash_operations_complete.sql","11","2","cajas","P2"
"retiros_caja","119__cash_operations_complete.sql","11","2","cajas","P2"
"comunicaciones_baja","082__comunicacion_baja_resumen_diario.sql","10","0","cpe","P2"
"presupuestos","046_create_presupuestos_table.sql","10","0","contabilidad","P2"
"caja_audit_log","119__cash_operations_complete.sql","9","0","cajas","P2"
"cotizaciones_compra","035_compras_completo.sql","9","1","compras","P2"
"ventas","000__bootstrap_core_tables.sql","9","0","otros,shared","P2"
"asistencia","000__bootstrap_core_tables.sql","8","4","rrhh","P2"
"centros_costo","000__bootstrap_core_tables.sql","8","0","contabilidad,otros","P2"
"libro_retenciones","000__bootstrap_core_tables.sql","8","0","otros","P2"
"pedido_backorders","012_parciales_backorder.sql","8","0","inventario,ventas","P2"
"configuracion_fiscal","000__bootstrap_core_tables.sql","7","0","configuracion,cpe,otros,shared,web","P2"
"cotizacion_compra_detalles","035_compras_completo.sql","7","0","compras","P2"
"documento_series","000__bootstrap_core_tables.sql","7","0","otros,ventas","P2"
"movimientos_caja","119__cash_operations_complete.sql","7","0","cajas,pos","P2"
"rma_solicitudes","016_p3_rma_multialmacen_dashboards.sql","7","0","ventas","P2"
