"relation_type","relation_name","base_name","migration"
"materialized_view","mv_balance_comprobacion","mv_balance_comprobacion","048_create_materialized_views_estados_financieros.sql"
"materialized_view","mv_balance_comprobacion","mv_balance_comprobacion","104__asientos_numero_asiento_text.sql"
"materialized_view","mv_balance_general","mv_balance_general","048_create_materialized_views_estados_financieros.sql"
"materialized_view","mv_balance_general","mv_balance_general","104__asientos_numero_asiento_text.sql"
"materialized_view","mv_estado_resultados","mv_estado_resultados","048_create_materialized_views_estados_financieros.sql"
"materialized_view","mv_estado_resultados","mv_estado_resultados","104__asientos_numero_asiento_text.sql"
"table","activos_fijos","activos_fijos","000__bootstrap_core_tables.sql"
"table","almacen_ubicaciones","almacen_ubicaciones","016_p3_rma_multialmacen_dashboards.sql"
"table","almacenes","almacenes","016_p3_rma_multialmacen_dashboards.sql"
"table","almacenes","almacenes","109__productos_servicios_cajas.sql"
"table","app.rate_limit_anomalies","rate_limit_anomalies","132__adaptive_rate_limiting.sql"
"table","app.rate_limit_baselines","rate_limit_baselines","132__adaptive_rate_limiting.sql"
"table","app.rate_limit_blocks","rate_limit_blocks","132__adaptive_rate_limiting.sql"
"table","app.rate_limit_configs","rate_limit_configs","132__adaptive_rate_limiting.sql"
"table","app.request_logs","request_logs","132__adaptive_rate_limiting.sql"
"table","app.trusted_ips","trusted_ips","132__adaptive_rate_limiting.sql"
"table","asientos_contables","asientos_contables","000__bootstrap_core_tables.sql"
"table","asignacion_costos","asignacion_costos","000__bootstrap_core_tables.sql"
"table","asistencia","asistencia","000__bootstrap_core_tables.sql"
"table","audit_log","audit_log","000__bootstrap_core_tables.sql"
"table","audit_log_archive","audit_log_archive","063_audit_log_rotation.sql"
"table","auditoria","auditoria","000__bootstrap_core_tables.sql"
"table","auth_login_attempts","auth_login_attempts","054_add_login_attempts.sql"
"table","autorizaciones_caja","autorizaciones_caja","122_autorizaciones_caja.sql"
"table","beneficios","beneficios","000__bootstrap_core_tables.sql"
"table","caja_audit_log","caja_audit_log","119__cash_operations_complete.sql"
"table","cajas","cajas","000__bootstrap_core_tables.sql"
"table","cajas","cajas","109__productos_servicios_cajas.sql"
"table","calendario_empresa","calendario_empresa","000__bootstrap_core_tables.sql"
"table","cambios_turno","cambios_turno","119__cash_operations_complete.sql"
"table","candidatos","candidatos","000__bootstrap_core_tables.sql"
"table","capacitaciones","capacitaciones","000__bootstrap_core_tables.sql"
"table","centros_costo","centros_costo","000__bootstrap_core_tables.sql"
"table","clientes","clientes","000__bootstrap_core_tables.sql"
"table","cobranzas","cobranzas","000__bootstrap_core_tables.sql"
"table","comunicaciones_baja","comunicaciones_baja","082__comunicacion_baja_resumen_diario.sql"
"table","conceptos_planilla","conceptos_planilla","000__bootstrap_core_tables.sql"
"table","conciliaciones_bancarias","conciliaciones_bancarias","022__create_conciliaciones_bancarias.sql"
"table","config_alertas_vencimiento","config_alertas_vencimiento","128__lotes_series_fefo.sql"
"table","configuracion_caja","configuracion_caja","119__cash_operations_complete.sql"
"table","configuracion_caja","configuracion_caja","121_configuracion_caja.sql"
"table","configuracion_fiscal","configuracion_fiscal","000__bootstrap_core_tables.sql"
"table","configuracion_retenciones","configuracion_retenciones","000__bootstrap_core_tables.sql"
"table","contratos","contratos","000__bootstrap_core_tables.sql"
"table","cotizacion_compra_detalles","cotizacion_compra_detalles","035_compras_completo.sql"
"table","cotizacion_detalles","cotizacion_detalles","000__bootstrap_core_tables.sql"
"table","cotizaciones","cotizaciones","000__bootstrap_core_tables.sql"
"table","cotizaciones_compra","cotizaciones_compra","035_compras_completo.sql"
"table","cpe","cpe","0525__restore_cpe_table.sql"
"table","cuentas_bancarias","cuentas_bancarias","020_finanzas_completo.sql"
"table","cuentas_por_cobrar","cuentas_por_cobrar","010_aprobaciones_cxc.sql"
"table","cuentas_por_pagar","cuentas_por_pagar","000__bootstrap_core_tables.sql"
"table","cxc_pagos","cxc_pagos","011_cxc_retenciones_anticipos.sql"
"table","demo_conversiones_pendientes","demo_conversiones_pendientes","145__demo_conversiones_pendientes.sql"
"table","departamentos","departamentos","000__bootstrap_core_tables.sql"
"table","depreciaciones","depreciaciones","000__bootstrap_core_tables.sql"
"table","detalle_asientos","detalle_asientos","000__bootstrap_core_tables.sql"
"table","detalle_comunicacion_baja","detalle_comunicacion_baja","082__comunicacion_baja_resumen_diario.sql"
"table","detalle_resumen_diario","detalle_resumen_diario","082__comunicacion_baja_resumen_diario.sql"
"table","detalle_retenciones_categoria","detalle_retenciones_categoria","000__bootstrap_core_tables.sql"
"table","detalle_ventas_pos","detalle_ventas_pos","000__bootstrap_core_tables.sql"
"table","devolucion_items","devolucion_items","035_compras_completo.sql"
"table","devoluciones_proveedor","devoluciones_proveedor","035_compras_completo.sql"
"table","documento_archivos","documento_archivos","000__bootstrap_core_tables.sql"
"table","documento_auditoria","documento_auditoria","000__bootstrap_core_tables.sql"
"table","documento_detalles","documento_detalles","000__bootstrap_core_tables.sql"
"table","documento_series","documento_series","000__bootstrap_core_tables.sql"
"table","documentos","documentos","000__bootstrap_core_tables.sql"
"table","egresos","egresos","000__bootstrap_core_tables.sql"
"table","empleado_beneficios","empleado_beneficios","000__bootstrap_core_tables.sql"
"table","empleado_capacitaciones","empleado_capacitaciones","000__bootstrap_core_tables.sql"
"table","empleado_horarios","empleado_horarios","000__bootstrap_core_tables.sql"
"table","empleado_planilla","empleado_planilla","000__bootstrap_core_tables.sql"
"table","empleado_planilla_conceptos","empleado_planilla_conceptos","000__bootstrap_core_tables.sql"
"table","empleados","empleados","000__bootstrap_core_tables.sql"
"table","empresa_config","empresa_config","000__bootstrap_core_tables.sql"
"table","evaluaciones","evaluaciones","000__bootstrap_core_tables.sql"
"table","event_processing_log","event_processing_log","000__bootstrap_core_tables.sql"
"table","eventos_pos","eventos_pos","127_eventos_pos_auditoria.sql"
"table","expediente_documentos","expediente_documentos","000__bootstrap_core_tables.sql"
"table","gastos","gastos","000__bootstrap_core_tables.sql"
"table","gestiones_cobranza","gestiones_cobranza","000__bootstrap_core_tables.sql"
"table","gre","gre","000__bootstrap_core_tables.sql"
"table","gre_guias","gre_guias","000__bootstrap_core_tables.sql"
"table","historial_pagos_planilla","historial_pagos_planilla","000__bootstrap_core_tables.sql"
"table","horarios_trabajo","horarios_trabajo","000__bootstrap_core_tables.sql"
"table","integration_logs","integration_logs","008_crear_tabla_integration_logs.sql"
"table","inventarios_permanentes","inventarios_permanentes","000__bootstrap_core_tables.sql"
"table","knowledge_base","knowledge_base","148__knowledge_base_help_system.sql"
"table","libro_retenciones","libro_retenciones","000__bootstrap_core_tables.sql"
"table","libros_electronicos_sunat","libros_electronicos_sunat","000__bootstrap_core_tables.sql"
"table","liquidaciones","liquidaciones","000__bootstrap_core_tables.sql"
"table","logistica_eventos","logistica_eventos","010_aprobaciones_cxc.sql"
"table","lotes_productos","lotes_productos","128__lotes_series_fefo.sql"
"table","metodos_pago","metodos_pago","000__bootstrap_core_tables.sql"
"table","movimientos_bancarios","movimientos_bancarios","020_finanzas_completo.sql"
"table","movimientos_caja","movimientos_caja","119__cash_operations_complete.sql"
"table","movimientos_consignacion","movimientos_consignacion","000__bootstrap_core_tables.sql"
"table","movimientos_inventario","movimientos_inventario","004_movimientos_inventario_ventas.sql"
"table","movimientos_lotes","movimientos_lotes","128__lotes_series_fefo.sql"
"table","notificacion_tipo_roles","notificacion_tipo_roles","151__notificaciones_por_rol.sql"
"table","notificaciones","notificaciones","000__bootstrap_core_tables.sql"
"table","notificaciones","notificaciones","150__fix_notificaciones_table.sql"
"table","oc_aprobaciones","oc_aprobaciones","035_compras_completo.sql"
"table","orden_compra_detalles","orden_compra_detalles","000__bootstrap_core_tables.sql"
"table","ordenes_compra","ordenes_compra","000__bootstrap_core_tables.sql"
"table","outbox_events","outbox_events","000__bootstrap_core_tables.sql"
"table","pagos_empleados","pagos_empleados","000__bootstrap_core_tables.sql"
"table","pagos_facturas","pagos_facturas","000__bootstrap_core_tables.sql"
"table","pagos_lote","pagos_lote","037_add_idempotency_pago_lote.sql"
"table","paises","paises","000__bootstrap_core_tables.sql"
"table","pedido_aprobaciones","pedido_aprobaciones","010_aprobaciones_cxc.sql"
"table","pedido_backorders","pedido_backorders","012_parciales_backorder.sql"
"table","pedido_despachos","pedido_despachos","012_parciales_backorder.sql"
"table","pedido_gres","pedido_gres","014_pedido_gres.sql"
"table","pedidos_venta","pedidos_venta","001_crear_tablas_ventas.sql"
"table","pedidos_venta_detalle","pedidos_venta_detalle","001_crear_tablas_ventas.sql"
"table","periodos_contables","periodos_contables","000__bootstrap_core_tables.sql"
"table","permisos","permisos","000__bootstrap_core_tables.sql"
"table","pii_encryption_log","pii_encryption_log","131__pii_encryption_support.sql"
"table","plan_cuentas","plan_cuentas","000__bootstrap_core_tables.sql"
"table","planillas","planillas","000__bootstrap_core_tables.sql"
"table","plantillas_asientos","plantillas_asientos","047_create_plantillas_asientos_table.sql"
"table","plantillas_asientos_detalle","plantillas_asientos_detalle","047_create_plantillas_asientos_table.sql"
"table","plantillas_asientos_historial","plantillas_asientos_historial","047_create_plantillas_asientos_table.sql"
"table","plantillas_asientos_ventas","plantillas_asientos_ventas","086__flujo_ventas_completo.sql"
"table","plantillas_asientos_ventas","plantillas_asientos_ventas","086__flujo_ventas_documentos_completo.sql"
"table","pos_numeracion","pos_numeracion","111__pos_tx_outbox.sql"
"table","presupuestos","presupuestos","046_create_presupuestos_table.sql"
"table","producto_existencias","producto_existencias","016_p3_rma_multialmacen_dashboards.sql"
"table","producto_precios_sucursal","producto_precios_sucursal","109__productos_servicios_cajas.sql"
"table","producto_stock_sucursal","producto_stock_sucursal","109__productos_servicios_cajas.sql"
"table","productos","productos","000__bootstrap_core_tables.sql"
"table","proveedores","proveedores","000__bootstrap_core_tables.sql"
"table","public.cortes_caja","cortes_caja","158__cortes_caja.sql"
"table","public.gre_detalles","gre_detalles","155__add_gre_sire_detail_tables.sql"
"table","public.pedido_gres","pedido_gres","155__add_gre_sire_detail_tables.sql"
"table","public.sire_registros_detalle","sire_registros_detalle","155__add_gre_sire_detail_tables.sql"
"table","recepcion_items","recepcion_items","035_compras_completo.sql"
"table","recepciones","recepciones","035_compras_completo.sql"
"table","registro_consignaciones","registro_consignaciones","000__bootstrap_core_tables.sql"
"table","resumenes_diarios","resumenes_diarios","082__comunicacion_baja_resumen_diario.sql"
"table","retiros_caja","retiros_caja","119__cash_operations_complete.sql"
"table","rls_alert_config","rls_alert_config","034_configure_rls_alerts.sql"
"table","rls_alert_history","rls_alert_history","034_configure_rls_alerts.sql"
"table","rls_audit_log","rls_audit_log","033_audit_rls_violations.sql"
"table","rma_eventos","rma_eventos","016_p3_rma_multialmacen_dashboards.sql"
"table","rma_items","rma_items","016_p3_rma_multialmacen_dashboards.sql"
"table","rma_solicitudes","rma_solicitudes","016_p3_rma_multialmacen_dashboards.sql"
"table","rol_permisos","rol_permisos","000__bootstrap_core_tables.sql"
"table","roles","roles","000__bootstrap_core_tables.sql"
"table","saldos_iniciales_cuentas","saldos_iniciales_cuentas","000__bootstrap_core_tables.sql"
"table","secret_rotation_state","secret_rotation_state","130__secret_rotation_state.sql"
