"table_name","first_migration","appearances"
"activos_fijos","000__bootstrap_core_tables.sql","1"
"almacen_ubicaciones","016_p3_rma_multialmacen_dashboards.sql","1"
"almacenes","016_p3_rma_multialmacen_dashboards.sql","2"
"app.","132__adaptive_rate_limiting.sql","1"
"app.rate_limit_anomalies","132__adaptive_rate_limiting.sql","1"
"app.rate_limit_baselines","132__adaptive_rate_limiting.sql","1"
"app.rate_limit_blocks","132__adaptive_rate_limiting.sql","1"
"app.rate_limit_configs","132__adaptive_rate_limiting.sql","1"
"app.request_logs","132__adaptive_rate_limiting.sql","1"
"app.trusted_ips","132__adaptive_rate_limiting.sql","1"
"asientos_contables","000__bootstrap_core_tables.sql","1"
"asignacion_costos","000__bootstrap_core_tables.sql","1"
"asistencia","000__bootstrap_core_tables.sql","1"
"audit_log","000__bootstrap_core_tables.sql","1"
"audit_log_archive","063_audit_log_rotation.sql","1"
"auditoria","000__bootstrap_core_tables.sql","1"
"auth_login_attempts","054_add_login_attempts.sql","1"
"autorizaciones_caja","122_autorizaciones_caja.sql","1"
"beneficios","000__bootstrap_core_tables.sql","1"
"caja_audit_log","119__cash_operations_complete.sql","1"
"cajas","000__bootstrap_core_tables.sql","2"
"calendario_empresa","000__bootstrap_core_tables.sql","1"
"cambios_turno","119__cash_operations_complete.sql","1"
"candidatos","000__bootstrap_core_tables.sql","1"
"capacitaciones","000__bootstrap_core_tables.sql","1"
"centros_costo","000__bootstrap_core_tables.sql","1"
"clientes","000__bootstrap_core_tables.sql","1"
"cobranzas","000__bootstrap_core_tables.sql","1"
"comunicaciones_baja","082__comunicacion_baja_resumen_diario.sql","1"
"conceptos_planilla","000__bootstrap_core_tables.sql","1"
"conciliaciones_bancarias","022__create_conciliaciones_bancarias.sql","1"
"config_alertas_vencimiento","128__lotes_series_fefo.sql","1"
"configuracion_caja","119__cash_operations_complete.sql","2"
"configuracion_fiscal","000__bootstrap_core_tables.sql","1"
"configuracion_retenciones","000__bootstrap_core_tables.sql","1"
"contratos","000__bootstrap_core_tables.sql","1"
"cotizacion_compra_detalles","035_compras_completo.sql","1"
"cotizacion_detalles","000__bootstrap_core_tables.sql","1"
"cotizaciones","000__bootstrap_core_tables.sql","1"
"cotizaciones_compra","035_compras_completo.sql","1"
"cpe","0525__restore_cpe_table.sql","1"
"cuentas_bancarias","020_finanzas_completo.sql","1"
"cuentas_por_cobrar","010_aprobaciones_cxc.sql","1"
"cuentas_por_pagar","000__bootstrap_core_tables.sql","1"
"cxc_pagos","011_cxc_retenciones_anticipos.sql","1"
"demo_conversiones_pendientes","145__demo_conversiones_pendientes.sql","1"
"departamentos","000__bootstrap_core_tables.sql","1"
"depreciaciones","000__bootstrap_core_tables.sql","1"
"detalle_asientos","000__bootstrap_core_tables.sql","1"
"detalle_comunicacion_baja","082__comunicacion_baja_resumen_diario.sql","1"
"detalle_resumen_diario","082__comunicacion_baja_resumen_diario.sql","1"
"detalle_retenciones_categoria","000__bootstrap_core_tables.sql","1"
"detalle_ventas_pos","000__bootstrap_core_tables.sql","1"
"devolucion_items","035_compras_completo.sql","1"
"devoluciones_proveedor","035_compras_completo.sql","1"
"documento_archivos","000__bootstrap_core_tables.sql","1"
"documento_auditoria","000__bootstrap_core_tables.sql","1"
"documento_detalles","000__bootstrap_core_tables.sql","1"
"documento_series","000__bootstrap_core_tables.sql","1"
"documentos","000__bootstrap_core_tables.sql","1"
"egresos","000__bootstrap_core_tables.sql","1"
"empleado_beneficios","000__bootstrap_core_tables.sql","1"
"empleado_capacitaciones","000__bootstrap_core_tables.sql","1"
"empleado_horarios","000__bootstrap_core_tables.sql","1"
"empleado_planilla","000__bootstrap_core_tables.sql","1"
"empleado_planilla_conceptos","000__bootstrap_core_tables.sql","1"
"empleados","000__bootstrap_core_tables.sql","1"
"empresa_config","000__bootstrap_core_tables.sql","1"
"evaluaciones","000__bootstrap_core_tables.sql","1"
"event_processing_log","000__bootstrap_core_tables.sql","1"
"eventos_pos","127_eventos_pos_auditoria.sql","1"
"expediente_documentos","000__bootstrap_core_tables.sql","1"
"gastos","000__bootstrap_core_tables.sql","1"
"gestiones_cobranza","000__bootstrap_core_tables.sql","1"
"gre","000__bootstrap_core_tables.sql","1"
"gre_guias","000__bootstrap_core_tables.sql","1"
"historial_pagos_planilla","000__bootstrap_core_tables.sql","1"
"horarios_trabajo","000__bootstrap_core_tables.sql","1"
"if","000__bootstrap_core_tables.sql","2"
"integration_logs","008_crear_tabla_integration_logs.sql","1"
"inventarios_permanentes","000__bootstrap_core_tables.sql","1"
"knowledge_base","148__knowledge_base_help_system.sql","1"
"libro_retenciones","000__bootstrap_core_tables.sql","1"
"libros_electronicos_sunat","000__bootstrap_core_tables.sql","1"
"liquidaciones","000__bootstrap_core_tables.sql","1"
"logistica_eventos","010_aprobaciones_cxc.sql","1"
"lotes_productos","128__lotes_series_fefo.sql","1"
"metodos_pago","000__bootstrap_core_tables.sql","1"
"movimientos_bancarios","020_finanzas_completo.sql","1"
"movimientos_caja","119__cash_operations_complete.sql","1"
"movimientos_consignacion","000__bootstrap_core_tables.sql","1"
"movimientos_inventario","004_movimientos_inventario_ventas.sql","1"
"movimientos_lotes","128__lotes_series_fefo.sql","1"
