"table","refs_src","refs_test","modules_src"
"usuarios","9","0","cajas,compras,ventas,web"
"user_sessions","8","0","auth,tenants,usuarios"
"comprobantes_electronicos","5","0","cpe,gre"
"rrhh_pagos","4","0","rrhh"
"asistencias","2","0","shared"
"asientos_contables_rrhh","1","0","otros"
"compras","1","0","shared"
"fe_configuracion","1","0","otros"
"feriados","1","0","shared"
"movimientos_stock","1","0","shared"
"pagos_ventas","1","0","shared"
"profiles","1","0","otros"
"proveedores_cuarta_categoria","1","0","otros"
"supervisor_pins","1","0","cajas"
"tipos_documentos_fiscales","1","0","otros"
"tipos_impuestos","1","0","otros"
"pdf","0","1",""
