"file","module","object_type","object_name"
"001_crear_tablas_ventas.sql","ventas","table","pedidos_venta"
"001_crear_tablas_ventas.sql","ventas","table","pedidos_venta_detalle"
"004_movimientos_inventario_ventas.sql","ventas,inventario","table","movimientos_inventario"
"004_movimientos_inventario_ventas.sql","ventas,inventario","policy","movimientos are immutable on movimientos_inventario"
"004_movimientos_inventario_ventas.sql","ventas,inventario","policy","movimientos cannot be deleted on movimientos_inventario"
"006_funciones_stock.sql","inventario","function","stock_disponible"
"006_funciones_stock.sql","inventario","function","verificar_stock_disponible"
"006_funciones_stock.sql","inventario","function","obtener_stock_info"
"006_funciones_stock.sql","inventario","function","actualizar_stock_reservado"
"006_funciones_stock.sql","inventario","function","descontar_stock"
"008_crear_tabla_integration_logs.sql","core","table","integration_logs"
"008_crear_tabla_integration_logs.sql","core","policy","integration_logs_tenant_isolation on integration_logs"
"008_crear_tabla_integration_logs.sql","core","policy","integration_logs_insert_policy on integration_logs"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","app.current_tenant_id"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","app.current_user_id"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","app.current_tenant_id_safe"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","app.has_tenant_context"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","app.is_superadmin"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","app.log_no_tenant_access"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","incrementar_stock_reservado"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","decrementar_stock_reservado"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","descontar_stock_y_liberar_reserva"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","get_current_tenant_id"
"009_multi_tenant_context_stock.sql","inventario,seguridad","function","get_current_user_id"
"010_aprobaciones_cxc.sql","ventas","table","pedido_aprobaciones"
"010_aprobaciones_cxc.sql","ventas","table","cuentas_por_cobrar"
"010_aprobaciones_cxc.sql","ventas","table","logistica_eventos"
"010_aprobaciones_cxc.sql","ventas","policy","pedido_aprobaciones_rls on pedido_aprobaciones"
"010_aprobaciones_cxc.sql","ventas","policy","cuentas_por_cobrar_rls on cuentas_por_cobrar"
"010_aprobaciones_cxc.sql","ventas","policy","logistica_eventos_rls on logistica_eventos"
"011_cxc_retenciones_anticipos.sql","ventas,fiscal","table","cxc_pagos"
"011_cxc_retenciones_anticipos.sql","ventas,fiscal","policy","cxc_pagos_rls on cxc_pagos"
"012_parciales_backorder.sql","core","table","pedido_despachos"
