"table","kind","column","file"
"ventas_pos","insert","tenant_id","scripts\seed_pos_pending_sale.ts"
"ventas_pos","insert","numero_venta","scripts\seed_pos_pending_sale.ts"
"ventas_pos","insert","numero_ticket","scripts\seed_pos_pending_sale.ts"
"ventas_pos","insert","estado","scripts\seed_pos_pending_sale.ts"
"ventas_pos","insert","total","scripts\seed_pos_pending_sale.ts"
"ventas_pos","insert","cpe_data","scripts\seed_pos_pending_sale.ts"
"ventas_pos","insert","cpe_pendiente","scripts\seed_pos_pending_sale.ts"
"ventas_pos","insert","intentos_facturacion","scripts\seed_pos_pending_sale.ts"
"productos","select","codigo","apps\worker\src\index.ts"
"productos","select","nombre","apps\worker\src\index.ts"
"productos","select","stock","apps\worker\src\index.ts"
"productos","select","stock_minimo","apps\worker\src\index.ts"
"productos","filter","stock","apps\worker\src\index.ts"
"cpe","select","id","apps\worker\src\index.ts"
"cpe","select","tenant_id","apps\worker\src\index.ts"
"cpe","select","serie","apps\worker\src\index.ts"
"cpe","select","numero","apps\worker\src\index.ts"
"cpe","filter","id","apps\worker\src\index.ts"
"cpe","select","id","apps\worker\src\index.ts"
"cpe","select","tenant_id","apps\worker\src\index.ts"
"cpe","select","serie","apps\worker\src\index.ts"
"cpe","select","numero","apps\worker\src\index.ts"
"cpe","filter","id","apps\worker\src\index.ts"
"cpe","select","id","apps\worker\src\index.ts"
"cpe","select","tenant_id","apps\worker\src\index.ts"
"cpe","select","serie","apps\worker\src\index.ts"
"cpe","select","numero","apps\worker\src\index.ts"
"cpe","filter","id","apps\worker\src\index.ts"
"cpe","insert","tenant_id","apps\worker\src\index.ts"
"cpe","insert","status","apps\worker\src\index.ts"
"cpe","insert","created_at","apps\worker\src\index.ts"
"cpe","update","pdf_generado_en","apps\worker\src\index.ts"
"cpe","filter","id","apps\worker\src\index.ts"
"cpe","select","id","apps\worker\src\index.ts"
"cpe","filter","estado","apps\worker\src\index.ts"
"cpe","filter","fecha_envio","apps\worker\src\index.ts"
"cpe","filter","id","apps\worker\src\index.ts"
"cpe","filter","estado","apps\worker\src\index.ts"
