"table","cols","count"
"clientes","activo,apellidos,cliente_id,created_at,detraccion_tasa,direccion,documento_numero,documento_tipo,email,id,limite_credito,nombre,nombres,numero_documento,pais,percepcion_tasa,permite_morosidad,razon_social,retencion_tasa,ruc,sujeto_detraccion,sujeto_percepcion,sujeto_retencion,tenant_id,tipo,tipo_documento,updated_at","27"
"cotizaciones","aprobado_por,cliente_id,convertido_por,created_at,documento_generado_id,estado,fecha,fecha_aprobacion,fecha_conversion,fecha_cotizacion,fecha_rechazo,fecha_vencimiento,id,motivo_rechazo,numero,observaciones_aprobacion,probabilidad,rechazado_por,tenant_id,tipo_documento,total,updated_at,vendedor","23"
"cotizacion_detalles","cotizacion_id,created_at,id,tenant_id","4"
"pedidos_venta","aprobado_en,aprobado_por,cliente_id,created_at,estado,estado_credito,factura_id,fecha,fecha_pedido,gre_id,id,igv,moneda,motivo_requiere_aprobacion,notas,numero,observaciones,pedido_id,requiere_aprobacion,subtotal,tenant_id,tipo_documento,total,tracking_actualizado_en,tracking_estado,tracking_notas,updated_at","27"
"pedidos_venta_detalle","cantidad,cantidad_despachada,cantidad_facturada,created_at,descripcion,estado,estado_item,id,pedido_id,producto_id,referencia_id,referencia_tipo,tenant_id,tipo","14"
"pedido_aprobaciones","aprobado_en,aprobado_por,created_at,decision,id,motivos,pedido_id,tenant_id","8"
"pedido_despachos","","0"
"pedido_backorders","cantidad_pendiente,detalle_id,estado,id,observaciones,pedido_id,prioridad,proxima_fecha_compromiso,tenant_id,ultimo_compromiso_en,updated_at","11"
"productos","activo,categoria,codigo,costo,created_at,estado,id,nombre,pais,precio,precio_compra,precio_venta,producto_id,ruc,sku,stock,stock_actual,stock_minimo,stock_reservado,tenant_id,tipo,unidad_medida","22"
"movimientos_inventario","activo,cantidad,created_at,created_by,id,Motivo,nombre,notas,pais,pedido_id,producto_id,referencia_id,referencia_tipo,ruc,stock_actual,stock_reservado,tenant_id,tipo","18"
"stock_movimientos","activo,cantidad,created_at,id,motivo,producto_id,referencia,TENANT,tenant_id,tipo_movimiento,usuario_id","11"
"almacenes","activo,codigo,created_at,es_principal,id,nombre,pais,precio,ruc,stock_actual,stock_reservado,tenant_id,unidad_medida","13"
"producto_existencias","almacen_id,id,producto_id,stock_actual,stock_danado,stock_reservado,tenant_id","7"
"proveedores","activo,condiciones_pago,dias_credito,direccion,email,estado,id,limite_credito,nombre,numero_documento,orden_id,pais,proveedor_id,razon_social,ruc,telefono,tenant_id,updated_at","18"
"cotizaciones_compra","cotizacion_id,created_by,estado,fecha_cotizacion,fecha_vencimiento,id,numero,observaciones,orden_compra_id,proveedor_id,tenant_id,updated_at,validez_dias","13"
"cotizacion_compra_detalles","cotizacion_id,id,numero,orden_compra_id,tenant_id,updated_at","6"
"ordenes_compra","activo,created_at,estado,Fecha,fecha_entrega,fecha_orden,fecha_requerida,id,igv,moneda,nombre,numero,numero_orden,observaciones,orden_id,pais,proveedor_id,ruc,subtotal,tenant_id,total,updated_at,usuario_id","23"
"orden_compra_detalles","cantidad,cantidad_recibida,descripcion,fecha,fecha_recepcion,id,moneda,numero,orden_id,precio_unitario,producto_id,recepcion_id,subtotal,tenant_id,updated_at","15"
"recepciones","activo,cerrado_at,cerrado_por,created_at,created_by,estado,fecha_recepcion,id,nombre,numero,observaciones,orden_id,pais,ruc,tenant_id,updated_at","16"
