table,column
activos_fijos,fecha_adquisicion
almacen_ubicaciones,almacen_id
asientos_contables_rrhh,fecha
asistencia,fecha
asistencia,hora_entrada
asistencia,hora_salida
asistencia,horas_trabajadas
asistencia,id_empleado
asistencias,empleado_id
asistencias,fecha
asistencias,hora_entrada
asistencias,hora_salida
asistencias,horas_trabajadas
audit_log,changed_fields
audit_log,email
audit_log,metadata
audit_log,record_id
auth_login_attempts,failed_reason
auth_login_attempts,ip_address
auth_login_attempts,success
auth_login_attempts,user_agent
auth_login_attempts,user_email
beneficios,activo
caja_audit_log,evento
caja_audit_log,timestamp
caja_audit_log,usuario_id
candidatos,fecha_postulacion
capacitaciones,activo
capacitaciones,fecha_inicio
centros_costo,activo
compras,fecha
comprobantes_electronicos,anulado_at
comprobantes_electronicos,anulado_por
comprobantes_electronicos,motivo_anulacion
comprobantes_electronicos,nota_credito_id
comprobantes_electronicos,numero
comprobantes_electronicos,serie
comprobantes_electronicos,tipo_documento
comunicaciones_baja,cantidad_comprobantes
comunicaciones_baja,cdr_sunat
comunicaciones_baja,codigo_respuesta
comunicaciones_baja,comprobantes_ids
comunicaciones_baja,descripcion_respuesta
comunicaciones_baja,enviado_por
comunicaciones_baja,fecha_comunicacion
comunicaciones_baja,fecha_envio
comunicaciones_baja,fecha_generacion
comunicaciones_baja,fecha_respuesta
comunicaciones_baja,generado_por
comunicaciones_baja,hash_xml
comunicaciones_baja,ticket_sunat
comunicaciones_baja,xml_firmado
comunicaciones_baja,xml_generado
configuracion_fiscal,activo
configuracion_retenciones,activo
configuracion_retenciones,categoria
contratos,fecha_fin
contratos,fecha_inicio
contratos,id_empleado
contratos,motivo_finalizacion
contratos,observaciones
cotizaciones,igv
cotizaciones,items
cotizaciones,moneda
cotizaciones,observaciones
cuentas_por_cobrar,event_id
cuentas_por_cobrar,event_source
cuentas_por_cobrar,monto_original
cuentas_por_cobrar,numero_documento
cuentas_por_cobrar,tipo_documento
cuentas_por_pagar,condiciones_pago
cuentas_por_pagar,discrepancias
cuentas_por_pagar,estado_comparacion
cuentas_por_pagar,event_id
cuentas_por_pagar,idempotency_key
cuentas_por_pagar,orden_id
cuentas_por_pagar,tipo_documento
cxc_pagos,aplica_retencion
cxc_pagos,cuenta_bancaria_id
cxc_pagos,documento_id
cxc_pagos,event_id
cxc_pagos,fecha_pago
cxc_pagos,metodo_pago
cxc_pagos,moneda
cxc_pagos,monto
cxc_pagos,notas
cxc_pagos,pedido_id
cxc_pagos,retencion_monto
cxc_pagos,retencionmonto
cxc_pagos,source
cxc_pagos,tipo
cxc_pagos,usuario_id
demo_conversiones_pendientes,completed_at
demo_conversiones_pendientes,email
demo_conversiones_pendientes,password_hash
demo_conversiones_pendientes,periodo
demo_conversiones_pendientes,plan_id
demo_conversiones_pendientes,razon_social
demo_conversiones_pendientes,ruc
demo_conversiones_pendientes,stripe_session_id
demo_conversiones_pendientes,telefono
depreciaciones,evento_id
depreciaciones,procesado_outbox
documento_auditoria,accion
documento_auditoria,detalles_cambio
documento_auditoria,documento_id
documento_auditoria,timestamp
documento_auditoria,usuario_id
empleado_beneficios,fecha_inicio
empleado_beneficios,id_beneficio
empleado_beneficios,id_empleado
empleado_capacitaciones,fecha_inscripcion
empleado_capacitaciones,id_capacitacion
empleado_capacitaciones,id_empleado
empleado_horarios,activo
empleado_horarios,fecha_fin
empleado_horarios,fecha_inicio
empleado_horarios,id_empleado
empleado_horarios,id_horario
empleado_planilla,faltas
empleado_planilla,horas_extras_25
empleado_planilla,horas_extras_35
empleado_planilla,tardanzas_minutos
empresa_config,base64
empresa_config,bytes
empresa_config,dian_activo
empresa_config,dian_environment
empresa_config,dian_password
empresa_config,dian_regimen_fiscal
empresa_config,dian_resolucion_desde
empresa_config,dian_resolucion_fecha_fin
empresa_config,dian_resolucion_fecha_inicio
empresa_config,dian_resolucion_hasta
empresa_config,dian_resolucion_numero
empresa_config,dian_resolucion_prefijo
empresa_config,dian_software_id
empresa_config,dian_software_pin
empresa_config,dian_test_set_id
empresa_config,dian_tipo_contribuyente
empresa_config,dian_url
empresa_config,dian_usuario
empresa_config,emision_cpe_modo
empresa_config,fecha_inicio
empresa_config,onconflict
empresa_config,ose_activo
empresa_config,ose_api_header
empresa_config,ose_api_key
empresa_config,ose_auth_tipo
empresa_config,ose_bearer_token
empresa_config,ose_password
empresa_config,ose_status_url
empresa_config,ose_url
empresa_config,ose_username
empresa_config,regimen_tributario
empresa_config,retencion_renta_porcentaje
empresa_config,serie_boleta
empresa_config,serie_nota_credito
empresa_config,tipo_empresa
empresa_config,usar_flujo_logistica
evaluaciones,fecha_evaluacion
event_processing_log,completed_at
event_processing_log,error_details
event_processing_log,event_id
event_processing_log,message
event_processing_log,name
event_processing_log,processor_name
event_processing_log,stack
event_processing_log,started_at
event_processing_log,status
expediente_documentos,activo
expediente_documentos,archivo_url
expediente_documentos,fecha_subida
expediente_documentos,id_empleado
expediente_documentos,nombre_archivo
expediente_documentos,subido_por
expediente_documentos,tipo_documento
feriados,fecha
feriados,pais
gastos,fecha
gre_detalles,gre_id
historial_pagos_planilla,empleados_count
historial_pagos_planilla,fecha
historial_pagos_planilla,metodo
historial_pagos_planilla,monto
historial_pagos_planilla,numero_operacion
historial_pagos_planilla,observaciones
historial_pagos_planilla,planilla_id
horarios_trabajo,activo
integration_logs,action
integration_logs,correlacion_id
integration_logs,correlacion_tipo
integration_logs,cpe_id
integration_logs,destinatario
integration_logs,duration_ms
integration_logs,error_message
integration_logs,fechatraslado
integration_logs,filas
integration_logs,file_path
integration_logs,message
integration_logs,null
integration_logs,operacion
integration_logs,payload
integration_logs,periodo
integration_logs,referencia
integration_logs,request_summary
integration_logs,response_summary
integration_logs,saldo_contado
integration_logs,saldo_sistema
integration_logs,servicio
integration_logs,sesion_caja_id
integration_logs,status
integration_logs,status_code
integration_logs,timestamp
integration_logs,tipo
integration_logs,usuario_entrante_id
integration_logs,usuario_saliente_id
libro_retenciones,categoria_retencion
libro_retenciones,fecha_emision
libro_retenciones,fecha_pago
libro_retenciones,hardening
libro_retenciones,monto_pago
libro_retenciones,monto_retencion
libro_retenciones,numero_comprobante
libro_retenciones,numero_correlativo
libro_retenciones,observaciones
libro_retenciones,proveedor_id
libro_retenciones,tasa_retencion
liquidaciones,dias_cts
liquidaciones,fecha_terminacion
liquidaciones,id_empleado
liquidaciones,indemnizacion
liquidaciones,monto_cts
liquidaciones,motivo_terminacion
liquidaciones,total_liquidacion
liquidaciones,ultimo_dia_trabajado
liquidaciones,vacaciones_pendientes
logistica_eventos,datos
