table,column
activos_fijos,fecha_adquisicion
almacen_ubicaciones,almacen_id
asientos_contables_rrhh,fecha
asistencia,fecha
asistencia,hora_entrada
asistencia,hora_salida
asistencia,horas_trabajadas
asistencia,id_empleado
asistencias,empleado_id
asistencias,fecha
asistencias,hora_entrada
asistencias,hora_salida
asistencias,horas_trabajadas
audit_log,changed_fields
audit_log,email
audit_log,metadata
audit_log,record_id
beneficios,activo
caja_audit_log,evento
caja_audit_log,timestamp
caja_audit_log,usuario_id
candidatos,fecha_postulacion
capacitaciones,activo
capacitaciones,fecha_inicio
centros_costo,activo
compras,fecha
configuracion_retenciones,activo
configuracion_retenciones,categoria
contratos,fecha_fin
contratos,fecha_inicio
contratos,id_empleado
contratos,motivo_finalizacion
contratos,observaciones
cxc_pagos,retencionmonto
demo_conversiones_pendientes,completed_at
demo_conversiones_pendientes,email
demo_conversiones_pendientes,password_hash
demo_conversiones_pendientes,periodo
demo_conversiones_pendientes,plan_id
demo_conversiones_pendientes,razon_social
demo_conversiones_pendientes,ruc
demo_conversiones_pendientes,stripe_session_id
demo_conversiones_pendientes,telefono
depreciaciones,evento_id
depreciaciones,procesado_outbox
documento_auditoria,accion
documento_auditoria,detalles_cambio
documento_auditoria,documento_id
documento_auditoria,timestamp
documento_auditoria,usuario_id
empleado_beneficios,fecha_inicio
empleado_beneficios,id_beneficio
empleado_beneficios,id_empleado
empleado_capacitaciones,fecha_inscripcion
empleado_capacitaciones,id_capacitacion
empleado_capacitaciones,id_empleado
empleado_horarios,activo
empleado_horarios,fecha_fin
empleado_horarios,fecha_inicio
empleado_horarios,id_empleado
empleado_horarios,id_horario
empleado_planilla,faltas
empleado_planilla,horas_extras_25
empleado_planilla,horas_extras_35
empleado_planilla,tardanzas_minutos
empresa_config,base64
empresa_config,bytes
empresa_config,onconflict
evaluaciones,fecha_evaluacion
event_processing_log,completed_at
event_processing_log,error_details
event_processing_log,event_id
event_processing_log,message
event_processing_log,name
event_processing_log,processor_name
event_processing_log,stack
event_processing_log,started_at
event_processing_log,status
expediente_documentos,activo
expediente_documentos,archivo_url
expediente_documentos,fecha_subida
expediente_documentos,id_empleado
expediente_documentos,nombre_archivo
expediente_documentos,subido_por
expediente_documentos,tipo_documento
feriados,fecha
feriados,pais
gastos,fecha
gre_detalles,gre_id
historial_pagos_planilla,empleados_count
historial_pagos_planilla,fecha
historial_pagos_planilla,metodo
historial_pagos_planilla,monto
historial_pagos_planilla,numero_operacion
historial_pagos_planilla,observaciones
historial_pagos_planilla,planilla_id
horarios_trabajo,activo
integration_logs,fechatraslado
integration_logs,null
libro_retenciones,categoria_retencion
libro_retenciones,fecha_emision
libro_retenciones,fecha_pago
libro_retenciones,hardening
libro_retenciones,monto_pago
libro_retenciones,monto_retencion
libro_retenciones,numero_comprobante
libro_retenciones,numero_correlativo
libro_retenciones,observaciones
libro_retenciones,proveedor_id
libro_retenciones,tasa_retencion
liquidaciones,dias_cts
liquidaciones,fecha_terminacion
liquidaciones,id_empleado
liquidaciones,indemnizacion
liquidaciones,monto_cts
liquidaciones,motivo_terminacion
liquidaciones,total_liquidacion
liquidaciones,ultimo_dia_trabajado
liquidaciones,vacaciones_pendientes
logistica_eventos,datos
logistica_eventos,pedido_id
logistica_eventos,registrado_en
logistica_eventos,registrado_por
metodos_pago,activo
movimientos_inventario,error
oc_aprobaciones,aprobador_id
oc_aprobaciones,nivel
oc_aprobaciones,orden_id
pagos_ventas,metodo_pago
pedido_gres,creado_en
pedido_gres,pedido_id
pedidos_venta,null
periodos_contables,anio
periodos_contables,cerrado_por
periodos_contables,fecha_cierre
periodos_contables,mes
plantillas_asientos_ventas,activo
plantillas_asientos_ventas,pais_id
plantillas_asientos_ventas,tipo_documento
presupuestos,centro_costo_id
presupuestos,cuenta_id
presupuestos,monto_ejecutado
presupuestos,periodo_contable_id
producto_precios_sucursal,producto_id
producto_stock_sucursal,producto_id
proveedores,contacto
proveedores,created_by
proveedores,nombre_comercial
proveedores_cuarta_categoria,activo
proveedores_cuarta_categoria,proveedor_id
rate_limit_baselines,avg_requests_per_hour
rate_limit_baselines,endpoint
rate_limit_baselines,last_calculated
rate_limit_baselines,max_requests_per_hour
rate_limit_baselines,onconflict
rate_limit_baselines,sample_count
rate_limit_baselines,std_deviation
rate_limit_baselines,user_id
rate_limit_blocks,expires_at
rate_limit_blocks,user_id
registro_consignaciones,fecha_registro
rma_items,detalle_id
rma_solicitudes,almacen_retorno_id
rma_solicitudes,aprobado_en
rma_solicitudes,aprobado_por
rma_solicitudes,cliente_id
rma_solicitudes,motivo_general
rma_solicitudes,nota_credito_documento_id
rma_solicitudes,notas
rma_solicitudes,pedido_id
rma_solicitudes,recibido_en
rma_solicitudes,recibido_por
rma_solicitudes,tipo
rrhh_pagos,descuentos
rrhh_pagos,empleado_id
rrhh_pagos,fecha_pago
rrhh_pagos,metodo_pago
rrhh_pagos,monto_bruto
rrhh_pagos,monto_neto
rrhh_pagos,periodo
rrhh_pagos,planilla_id
rrhh_pagos,usuario_id
secret_rotation_state,current_secret_hash
secret_rotation_state,grace_period_hours
secret_rotation_state,previous_secret_hash
secret_rotation_state,rotated_at
secret_rotation_state,secret_key
sire_registros_detalle,cpe_id
solicitudes,aprobado_por
solicitudes,fecha_aprobacion
solicitudes,fecha_fin
solicitudes,fecha_inicio
solicitudes,id_empleado
solicitudes,observaciones_aprobacion
supervisor_pins,usuario_id
system_alerts,message
system_alerts,severity
system_alerts,type
trusted_ips,active
trusted_ips,ip_address
ventas,fecha
