"file","table"
"scripts\seed_pos_pending_sale.ts","ventas_pos"
"apps\erp-api\tests\run-tests.ts","asientos_contables"
"apps\erp-api\tests\run-tests.ts","detalle_asientos"
"apps\erp-api\tests\run-tests.ts","asientos_contables"
"apps\erp-api\tests\run-tests.ts","asientos_contables"
"apps\erp-api\tests\run-tests.ts","planillas"
"apps\worker\src\jobs\pos-facturacion-pendiente.job.ts","tenants"
"apps\worker\src\jobs\pos-cpe-retry.job.ts","tenants"
"apps\worker\src\jobs\configuration-check.job.ts","empresa_config"
"apps\worker\src\jobs\configuration-check.job.ts","notificaciones"
"apps\worker\src\jobs\configuration-check.job.ts","notificaciones"
"apps\worker\src\jobs\configuration-check.job.ts","empresa_config"
"apps\worker\src\jobs\configuration-check.job.ts","tenants"
"apps\worker\src\jobs\certificate-validation.job.ts","empresa_config"
"apps\worker\src\jobs\certificate-validation.job.ts","notificaciones"
"apps\worker\src\jobs\certificate-validation.job.ts","notificaciones"
"apps\worker\src\jobs\certificate-validation.job.ts","empresa_config"
"apps\worker\src\jobs\certificate-validation.job.ts","tenants"
"apps\worker\src\index.ts","integration_logs"
"apps\worker\src\index.ts","cpe"
"apps\worker\src\index.ts","integration_logs"
"apps\worker\src\index.ts","cpe"
"apps\worker\src\index.ts","integration_logs"
"apps\worker\src\index.ts","cpe"
"apps\worker\src\index.ts","integration_logs"
"apps\worker\src\index.ts","cpe"
"apps\worker\src\index.ts","sire_files"
"apps\worker\src\index.ts","sire_files"
"apps\worker\src\index.ts","integration_logs"
"apps\worker\src\index.ts","sire_files"
"apps\worker\src\index.ts","integration_logs"
"apps\worker\src\index.ts","cpe"
"apps\worker\src\index.ts","cpe"
"apps\worker\src\index.ts","gre"
"apps\worker\src\index.ts","productos"
"apps\worker\src\index.ts","ventas_pos"
"apps\worker\src\index.ts","productos"
"apps\erp-api\tests\integration\ventas-rls.test.ts","clientes"
"apps\erp-api\tests\integration\ventas-rls.test.ts","clientes"
"apps\erp-api\tests\integration\ventas-rls.test.ts","clientes"
"apps\erp-api\tests\integration\ventas-rls.test.ts","clientes"
