"code_name","status","relation_types","relation_names"
"activos_fijos","matched","table","activos_fijos"
"almacen_ubicaciones","matched","table","almacen_ubicaciones"
"almacenes","matched","table","almacenes"
"asientos_contables","matched","table","asientos_contables"
"asientos_contables_rrhh","unmatched","",""
"asistencia","matched","table","asistencia"
"asistencias","unmatched","",""
"audit_log","matched","table","audit_log"
"auth_login_attempts","matched","table","auth_login_attempts"
"autorizaciones_caja","matched","table","autorizaciones_caja"
"beneficios","matched","table","beneficios"
"caja_audit_log","matched","table","caja_audit_log"
"cajas","matched","table","cajas"
"cambios_turno","matched","table","cambios_turno"
"candidatos","matched","table","candidatos"
"capacitaciones","matched","table","capacitaciones"
"centros_costo","matched","table","centros_costo"
"clientes","matched","table","clientes"
"compras","unmatched","",""
"comprobantes_electronicos","unmatched","",""
"comunicaciones_baja","matched","table","comunicaciones_baja"
"conceptos_planilla","matched","table","conceptos_planilla"
"conciliaciones_bancarias","matched","table","conciliaciones_bancarias"
"configuracion_caja","matched","table","configuracion_caja"
"configuracion_fiscal","matched","table","configuracion_fiscal"
"configuracion_retenciones","matched","table","configuracion_retenciones"
"contratos","matched","table","contratos"
"cortes_caja","matched","table","public.cortes_caja"
"cotizacion_compra_detalles","matched","table","cotizacion_compra_detalles"
"cotizacion_detalles","matched","table","cotizacion_detalles"
"cotizaciones","matched","table","cotizaciones"
"cotizaciones_compra","matched","table","cotizaciones_compra"
"cpe","matched","table","cpe"
"cuentas_bancarias","matched","table","cuentas_bancarias"
"cuentas_por_cobrar","matched","table","cuentas_por_cobrar"
"cuentas_por_pagar","matched","table","cuentas_por_pagar"
"cxc_pagos","matched","table","cxc_pagos"
"demo_conversiones_pendientes","matched","table","demo_conversiones_pendientes"
"departamentos","matched","table","departamentos"
"depreciaciones","matched","table","depreciaciones"
"detalle_asientos","matched","table","detalle_asientos"
"detalle_comunicacion_baja","matched","table","detalle_comunicacion_baja"
"detalle_resumen_diario","matched","table","detalle_resumen_diario"
"detalle_ventas_pos","matched","table","detalle_ventas_pos"
"devolucion_items","matched","table","devolucion_items"
"devoluciones_proveedor","matched","table","devoluciones_proveedor"
"documento_auditoria","matched","table","documento_auditoria"
"documento_detalles","matched","table","documento_detalles"
"documento_series","matched","table","documento_series"
"documentos","matched","table","documentos"
"empleado_beneficios","matched","table","empleado_beneficios"
"empleado_capacitaciones","matched","table","empleado_capacitaciones"
"empleado_horarios","matched","table","empleado_horarios"
"empleado_planilla","matched","table","empleado_planilla"
"empleado_planilla_conceptos","matched","table","empleado_planilla_conceptos"
"empleados","matched","table","empleados"
"empresa_config","matched","table","empresa_config"
"evaluaciones","matched","table","evaluaciones"
"event_processing_log","matched","table","event_processing_log"
"expediente_documentos","matched","table","expediente_documentos"
"fe_configuracion","unmatched","",""
"feriados","unmatched","",""
"gastos","matched","table","gastos"
"gre","matched","table","gre"
"gre_detalles","matched","table","public.gre_detalles"
"gre_guias","matched","table","gre_guias"
"historial_pagos_planilla","matched","table","historial_pagos_planilla"
"horarios_trabajo","matched","table","horarios_trabajo"
"integration_logs","matched","table","integration_logs"
"libro_retenciones","matched","table","libro_retenciones"
"liquidaciones","matched","table","liquidaciones"
"logistica_eventos","matched","table","logistica_eventos"
"metodos_pago","matched","table","metodos_pago"
"movimientos_bancarios","matched","table","movimientos_bancarios"
"movimientos_caja","matched","table","movimientos_caja"
"movimientos_inventario","matched","table","movimientos_inventario"
"movimientos_stock","unmatched","",""
"mv_balance_comprobacion","matched","materialized_view","mv_balance_comprobacion"
"mv_balance_general","matched","materialized_view","mv_balance_general"
"mv_estado_resultados","matched","materialized_view","mv_estado_resultados"
"notificaciones","matched","table","notificaciones"
"oc_aprobaciones","matched","table","oc_aprobaciones"
"orden_compra_detalles","matched","table","orden_compra_detalles"
"ordenes_compra","matched","table","ordenes_compra"
"outbox_events","matched","table","outbox_events"
"pagos_empleados","matched","table","pagos_empleados"
"pagos_ventas","unmatched","",""
"paises","matched","table","paises"
"pdf","unmatched","",""
"pedido_aprobaciones","matched","table","pedido_aprobaciones"
"pedido_backorders","matched","table","pedido_backorders"
"pedido_despachos","matched","table","pedido_despachos"
"pedido_gres","matched","table","pedido_gres, public.pedido_gres"
"pedidos_venta","matched","table","pedidos_venta"
"pedidos_venta_detalle","matched","table","pedidos_venta_detalle"
"periodos_contables","matched","table","periodos_contables"
"permisos","matched","table","permisos"
"pg_matviews","unmatched","",""
"plan_cuentas","matched","table","plan_cuentas"
"planillas","matched","table","planillas"
"plantillas_asientos_ventas","matched","table","plantillas_asientos_ventas"
"presupuestos","matched","table","presupuestos"
"producto_existencias","matched","table","producto_existencias"
"producto_precios_sucursal","matched","table","producto_precios_sucursal"
"producto_stock_sucursal","matched","table","producto_stock_sucursal"
"productos","matched","table","productos"
"profiles","unmatched","",""
"proveedores","matched","table","proveedores"
"proveedores_cuarta_categoria","unmatched","",""
"rate_limit_anomalies","matched","table","app.rate_limit_anomalies"
"rate_limit_baselines","matched","table","app.rate_limit_baselines"
"rate_limit_blocks","matched","table","app.rate_limit_blocks"
"recepcion_items","matched","table","recepcion_items"
"recepciones","matched","table","recepciones"
"registro_consignaciones","matched","table","registro_consignaciones"
"request_logs","matched","table","app.request_logs"
"resumenes_diarios","matched","table","resumenes_diarios"
"retiros_caja","matched","table","retiros_caja"
"rls_alert_history","matched","table","rls_alert_history"
"rls_audit_log","matched","table","rls_audit_log"
"rma_eventos","matched","table","rma_eventos"
"rma_items","matched","table","rma_items"
"rma_solicitudes","matched","table","rma_solicitudes"
"rol_permisos","matched","table","rol_permisos"
"roles","matched","table","roles"
"rrhh_pagos","unmatched","",""
"secret_rotation_state","matched","table","secret_rotation_state"
"sesiones_caja","matched","table","sesiones_caja"
"sire_files","matched","table","sire_files"
"sire_registros_detalle","matched","table","public.sire_registros_detalle"
"solicitudes","matched","table","solicitudes"
"stock_movimientos","matched","table","stock_movimientos"
"supervisor_pins","unmatched","",""
"system_alerts","matched","table","system_alerts"
"tenants","matched","table","tenants"
"tipos_documentos_fiscales","unmatched","",""
"tipos_impuestos","unmatched","",""
"trusted_ips","matched","table","app.trusted_ips"
"user_roles","matched","table","user_roles"
"user_sessions","unmatched","",""
"users","matched","table","users"
"usuario_configuracion","matched","table","usuario_configuracion"
"usuarios","unmatched","",""
"usuarios_sistema","matched","table","usuarios_sistema"
"v_kpis_sunat_multitenant","matched","view","v_kpis_sunat_multitenant"
"v_rls_alerts_recent","matched","view","v_rls_alerts_recent"
"v_rls_alerts_unacknowledged","matched","view","v_rls_alerts_unacknowledged"
"v_rls_violations_by_table","matched","view","v_rls_violations_by_table"
"v_rls_violations_by_user","matched","view","v_rls_violations_by_user"
"v_rls_violations_hourly","matched","view","v_rls_violations_hourly"
"vacantes","matched","table","vacantes"
"venta_detalles","matched","table","venta_detalles"
"ventas","matched","table","ventas"
"ventas_pos","matched","table","ventas_pos"
"ventas_pos_pagos","matched","table","ventas_pos_pagos"
"vista_pos_productos","matched","view","public.vista_pos_productos, vista_pos_productos"
"vw_cpe_documentos_auditoria","matched","view","public.vw_cpe_documentos_auditoria, vw_cpe_documentos_auditoria"
"vw_eventos_pos_sospechosos","matched","view","vw_eventos_pos_sospechosos"
"vw_inventario_recepciones","matched","view","public.vw_inventario_recepciones, vw_inventario_recepciones"
"vw_kardex_valorizado","matched","view","public.vw_kardex_valorizado, vw_kardex_valorizado"
"vw_ranking_cajeros","matched","view","vw_ranking_cajeros"
"vw_sesiones_activas","matched","view","vw_sesiones_activas"
"wizard_progress","matched","table","wizard_progress"
