"table","file","module"
"ventas_pos","scripts\seed_pos_pending_sale.ts","otros"
"asientos_contables","apps\erp-api\tests\run-tests.ts","tests"
"detalle_asientos","apps\erp-api\tests\run-tests.ts","tests"
"asientos_contables","apps\erp-api\tests\run-tests.ts","tests"
"asientos_contables","apps\erp-api\tests\run-tests.ts","tests"
"planillas","apps\erp-api\tests\run-tests.ts","tests"
"tenants","apps\worker\src\jobs\pos-facturacion-pendiente.job.ts","otros"
"tenants","apps\worker\src\jobs\pos-cpe-retry.job.ts","otros"
"empresa_config","apps\worker\src\jobs\configuration-check.job.ts","otros"
"notificaciones","apps\worker\src\jobs\configuration-check.job.ts","otros"
"notificaciones","apps\worker\src\jobs\configuration-check.job.ts","otros"
"empresa_config","apps\worker\src\jobs\configuration-check.job.ts","otros"
"tenants","apps\worker\src\jobs\configuration-check.job.ts","otros"
"empresa_config","apps\worker\src\jobs\certificate-validation.job.ts","otros"
"notificaciones","apps\worker\src\jobs\certificate-validation.job.ts","otros"
"notificaciones","apps\worker\src\jobs\certificate-validation.job.ts","otros"
"empresa_config","apps\worker\src\jobs\certificate-validation.job.ts","otros"
"tenants","apps\worker\src\jobs\certificate-validation.job.ts","otros"
"integration_logs","apps\worker\src\index.ts","otros"
"cpe","apps\worker\src\index.ts","otros"
"integration_logs","apps\worker\src\index.ts","otros"
"cpe","apps\worker\src\index.ts","otros"
"integration_logs","apps\worker\src\index.ts","otros"
"cpe","apps\worker\src\index.ts","otros"
"integration_logs","apps\worker\src\index.ts","otros"
"cpe","apps\worker\src\index.ts","otros"
"sire_files","apps\worker\src\index.ts","otros"
"sire_files","apps\worker\src\index.ts","otros"
"integration_logs","apps\worker\src\index.ts","otros"
"sire_files","apps\worker\src\index.ts","otros"
"integration_logs","apps\worker\src\index.ts","otros"
"cpe","apps\worker\src\index.ts","otros"
"cpe","apps\worker\src\index.ts","otros"
"gre","apps\worker\src\index.ts","otros"
"productos","apps\worker\src\index.ts","otros"
"ventas_pos","apps\worker\src\index.ts","otros"
"productos","apps\worker\src\index.ts","otros"
"clientes","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"clientes","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"clientes","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"clientes","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta_detalle","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"clientes","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta_detalle","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"cuentas_por_cobrar","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\integration\ventas-rls.test.ts","tests"
"almacenes","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"almacenes","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"almacenes","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"almacenes","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"productos","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"producto_existencias","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"producto_existencias","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"producto_existencias","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"movimientos_inventario","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"producto_existencias","apps\erp-api\tests\integration\inventario-rls.test.ts","tests"
"tenants","apps\erp-api\scripts\run-pos-pending-worker.js","otros"
"empresa_config","apps\erp-api\scripts\reencrypt-certs.ts","otros"
"empresa_config","apps\erp-api\scripts\reencrypt-certs.ts","otros"
"tenants","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"productos","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"productos","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"productos","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"productos","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"productos","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"pedidos_venta_detalle","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"pedidos_venta","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"clientes","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"productos","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\ventas-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"departamentos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"contratos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"asistencia","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"departamentos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"departamentos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"departamentos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"departamentos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"departamentos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"departamentos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"tenants","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
"empleados","apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tests"
