"table","first_migration"
"asignacion_costos","000__bootstrap_core_tables.sql"
"audit_log_archive","063_audit_log_rotation.sql"
"auditoria","000__bootstrap_core_tables.sql"
"calendario_empresa","000__bootstrap_core_tables.sql"
"cobranzas","000__bootstrap_core_tables.sql"
"config_alertas_vencimiento","128__lotes_series_fefo.sql"
"detalle_retenciones_categoria","000__bootstrap_core_tables.sql"
"documento_archivos","000__bootstrap_core_tables.sql"
"egresos","000__bootstrap_core_tables.sql"
"eventos_pos","127_eventos_pos_auditoria.sql"
"gestiones_cobranza","000__bootstrap_core_tables.sql"
"inventarios_permanentes","000__bootstrap_core_tables.sql"
"knowledge_base","148__knowledge_base_help_system.sql"
"libros_electronicos_sunat","000__bootstrap_core_tables.sql"
"lotes_productos","128__lotes_series_fefo.sql"
"movimientos_consignacion","000__bootstrap_core_tables.sql"
"movimientos_lotes","128__lotes_series_fefo.sql"
"notificacion_tipo_roles","151__notificaciones_por_rol.sql"
"pagos_facturas","000__bootstrap_core_tables.sql"
"pagos_lote","037_add_idempotency_pago_lote.sql"
"pii_encryption_log","131__pii_encryption_support.sql"
"plantillas_asientos","047_create_plantillas_asientos_table.sql"
"plantillas_asientos_detalle","047_create_plantillas_asientos_table.sql"
"plantillas_asientos_historial","047_create_plantillas_asientos_table.sql"
"pos_numeracion","111__pos_tx_outbox.sql"
"rate_limit_configs","132__adaptive_rate_limiting.sql"
"rls_alert_config","034_configure_rls_alerts.sql"
"saldos_iniciales_cuentas","000__bootstrap_core_tables.sql"
"sucursales","109__productos_servicios_cajas.sql"
"usuarios_sistemas","000__bootstrap_core_tables.sql"
"validaciones_sunat","000__bootstrap_core_tables.sql"
