"rpc_name","status","function_names"
"acquire_job_lock","unmatched",""
"acquire_pos_lock","matched","acquire_pos_lock, app.acquire_pos_lock"
"app.set_tenant_context","matched","app.set_tenant_context"
"buscar_ayuda","matched","buscar_ayuda"
"calcular_balance_comprobacion","unmatched",""
"calcular_resultado_ejercicio","matched","calcular_resultado_ejercicio"
"convertir_cotizacion_a_pedido","matched","convertir_cotizacion_a_pedido"
"crear_documento_desde_cpe","matched","crear_documento_desde_cpe"
"crear_pedido_completo","matched","crear_pedido_completo"
"create_demo_tenant","matched","create_demo_tenant"
"decrementar_stock_reservado","matched","decrementar_stock_reservado"
"descontar_stock_y_liberar_reserva","matched","descontar_stock_y_liberar_reserva"
"detectar_patrones_sospechosos_pos","matched","detectar_patrones_sospechosos_pos"
"generar_numero_comunicacion_baja","matched","generar_numero_comunicacion_baja"
"generar_numero_resumen_diario","matched","generar_numero_resumen_diario"
"generate_rls_security_report","matched","generate_rls_security_report"
"get_analisis_crecimiento","unmatched",""
"get_asientos_por_tipo","unmatched",""
"get_kpis_financieros","unmatched",""
"get_pending_outbox_events","matched","get_pending_outbox_events, public.get_pending_outbox_events"
"get_resumen_financiero_mensual","unmatched",""
"get_table_indexes","matched","get_table_indexes"
"liberar_stock_cotizacion","matched","liberar_stock_cotizacion"
"mark_outbox_event_completed","matched","mark_outbox_event_completed"
"mark_outbox_event_failed","matched","mark_outbox_event_failed"
"mark_outbox_event_processing","matched","mark_outbox_event_processing"
"obtener_configuracion_efectiva_caja","matched","obtener_configuracion_efectiva_caja"
"obtener_metricas_cajero","matched","obtener_metricas_cajero"
"obtener_siguiente_numero_documento","matched","obtener_siguiente_numero_documento"
"obtener_siguiente_numero_serie","unmatched",""
"obtener_sugerencias_ayuda","matched","obtener_sugerencias_ayuda"
"pgrst_reload_schema","unmatched",""
"pos_registrar_venta_tx","matched","app.pos_registrar_venta_tx, pos_registrar_venta_tx, public.pos_registrar_venta_tx"
"procesar_pago_lote","matched","procesar_pago_lote"
"refrescar_estados_financieros","matched","refrescar_estados_financieros"
"refresh_materialized_view","unmatched",""
"registrar_entrada_stock_atomico","matched","registrar_entrada_stock_atomico"
"registrar_evento_pos","matched","registrar_evento_pos"
"registrar_movimiento_almacen","matched","registrar_movimiento_almacen"
"registrar_movimiento_caja","matched","registrar_movimiento_caja"
"release_job_lock","unmatched",""
"release_pos_lock","matched","app.release_pos_lock, release_pos_lock"
"reservar_stock_atomico","matched","reservar_stock_atomico"
"reservar_stock_cotizacion","matched","reservar_stock_cotizacion"
"rma_retorno_inventario","matched","rma_retorno_inventario"
"set_config","unmatched",""
"set_tenant_context","matched","app.set_tenant_context"
"validar_integridad_sesion","matched","validar_integridad_sesion"
