"table","first_migration"
"activos_fijos","000__bootstrap_core_tables.sql"
"almacen_ubicaciones","016_p3_rma_multialmacen_dashboards.sql"
"almacenes","016_p3_rma_multialmacen_dashboards.sql"
"asientos_contables","000__bootstrap_core_tables.sql"
"asignacion_costos","000__bootstrap_core_tables.sql"
"asistencia","000__bootstrap_core_tables.sql"
"audit_log","000__bootstrap_core_tables.sql"
"audit_log_archive","063_audit_log_rotation.sql"
"auditoria","000__bootstrap_core_tables.sql"
"auth_login_attempts","054_add_login_attempts.sql"
"autorizaciones_caja","122_autorizaciones_caja.sql"
"beneficios","000__bootstrap_core_tables.sql"
"caja_audit_log","119__cash_operations_complete.sql"
"cajas","000__bootstrap_core_tables.sql"
"calendario_empresa","000__bootstrap_core_tables.sql"
"cambios_turno","119__cash_operations_complete.sql"
"candidatos","000__bootstrap_core_tables.sql"
"capacitaciones","000__bootstrap_core_tables.sql"
"centros_costo","000__bootstrap_core_tables.sql"
"clientes","000__bootstrap_core_tables.sql"
"cobranzas","000__bootstrap_core_tables.sql"
"comunicaciones_baja","082__comunicacion_baja_resumen_diario.sql"
"conceptos_planilla","000__bootstrap_core_tables.sql"
"conciliaciones_bancarias","022__create_conciliaciones_bancarias.sql"
"config_alertas_vencimiento","128__lotes_series_fefo.sql"
"configuracion_caja","119__cash_operations_complete.sql"
"configuracion_fiscal","000__bootstrap_core_tables.sql"
"configuracion_retenciones","000__bootstrap_core_tables.sql"
"contratos","000__bootstrap_core_tables.sql"
"cortes_caja","158__cortes_caja.sql"
"cotizacion_compra_detalles","035_compras_completo.sql"
"cotizacion_detalles","000__bootstrap_core_tables.sql"
"cotizaciones","000__bootstrap_core_tables.sql"
"cotizaciones_compra","035_compras_completo.sql"
"cpe","0525__restore_cpe_table.sql"
"cuentas_bancarias","020_finanzas_completo.sql"
"cuentas_por_cobrar","010_aprobaciones_cxc.sql"
"cuentas_por_pagar","000__bootstrap_core_tables.sql"
"cxc_pagos","011_cxc_retenciones_anticipos.sql"
"demo_conversiones_pendientes","145__demo_conversiones_pendientes.sql"
"departamentos","000__bootstrap_core_tables.sql"
"depreciaciones","000__bootstrap_core_tables.sql"
"detalle_asientos","000__bootstrap_core_tables.sql"
"detalle_comunicacion_baja","082__comunicacion_baja_resumen_diario.sql"
"detalle_resumen_diario","082__comunicacion_baja_resumen_diario.sql"
"detalle_retenciones_categoria","000__bootstrap_core_tables.sql"
"detalle_ventas_pos","000__bootstrap_core_tables.sql"
"devolucion_items","035_compras_completo.sql"
"devoluciones_proveedor","035_compras_completo.sql"
