"table","kind","column","file"
"tenants","select","id","apps\erp-api\scripts\run-pos-pending-worker.js"
"empresa_config","select","id","apps\erp-api\scripts\reencrypt-certs.ts"
"empresa_config","select","tenant_id","apps\erp-api\scripts\reencrypt-certs.ts"
"empresa_config","select","pfx_encrypted","apps\erp-api\scripts\reencrypt-certs.ts"
"empresa_config","select","pfx_password_encrypted","apps\erp-api\scripts\reencrypt-certs.ts"
"empresa_config","update","pfx_encrypted","apps\erp-api\scripts\reencrypt-certs.ts"
"empresa_config","update","pfx_password_encrypted","apps\erp-api\scripts\reencrypt-certs.ts"
"empresa_config","filter","id","apps\erp-api\scripts\reencrypt-certs.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"tenants","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","descripcion","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tipo_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","numero_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","fecha_ingreso","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","estado","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tipo_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","numero_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","fecha_ingreso","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","estado","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","tipo_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","numero_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"tenants","insert","fecha_ingreso","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
