almacen_ubicaciones,descripcion,apps\erp-api\src\modules\inventario\inventario.service.ts
caja_audit_log,diferencia,apps\erp-api\src\modules\cajas\services\cash-fraud-detection.service.ts
caja_audit_log,hora_apertura,apps\erp-api\src\modules\cajas\services\cash-fraud-detection.service.ts
caja_audit_log,ip_address,apps\erp-api\src\modules\cajas\services\cash-audit.service.ts
centros_costo,descripcion,apps\erp-api\src\modules\contabilidad.controller.ts
configuracion_fiscal,max_items_por_documento,apps\erp-api\src\modules\validations\validation.service.ts
configuracion_fiscal,monto_maximo_documento,apps\erp-api\src\modules\validations\validation.service.ts
cpe,cliente_id,apps\erp-api\src\modules\finanzas\cxc\cxc.service.ts
depreciaciones,activo_id,apps\erp-api\src\modules\contabilidad\services\depreciacion-scheduler.service.ts
depreciaciones,centro_costo_id,apps\erp-api\src\modules\contabilidad\services\depreciacion-scheduler.service.ts
depreciaciones,monto_depreciacion,apps\erp-api\src\modules\contabilidad\services\depreciacion-scheduler.service.ts
depreciaciones,periodo,apps\erp-api\src\modules\contabilidad\services\depreciacion-scheduler.service.ts
empresa_config,frecuencia_actualizacion_dashboards,apps\erp-api\src\modules\ventas\reportes\reportes.service.ts
empresa_config,habilitar_dashboards_sunat,apps\erp-api\src\modules\ventas\reportes\reportes.service.ts
gastos,categoria,apps\erp-api\src\shared\integration\financial-integration.service.ts
gastos,monto,apps\erp-api\src\modules\analytics.controller.ts
gastos,monto,apps\erp-api\src\shared\integration\financial-integration.service.ts
gre_detalles,cantidad,apps\erp-api\src\modules\gre\gre.service.ts
gre_detalles,descripcion,apps\erp-api\src\modules\gre\gre.service.ts
gre_detalles,peso,apps\erp-api\src\modules\gre\gre.service.ts
gre_detalles,unidad_medida,apps\erp-api\src\modules\gre\gre.service.ts
metodos_pago,tipo,apps\erp-api\src\modules\pos\pos.service.ts
metodos_pago,tipo,apps\erp-api\tests\e2e\pos-e2e.test.ts
movimientos_bancarios,banco,apps\erp-api\src\modules\finanzas\bancos\bancos.service.ts
movimientos_bancarios,numero_cuenta,apps\erp-api\src\modules\finanzas\bancos\bancos.service.ts
notificaciones,roles_destinatarios,apps\erp-api\src\modules\notifications\notifications.service.ts
notificaciones,usuario_id,apps\erp-api\src\modules\notifications\notifications.service.ts
pagos_ventas,monto,apps\erp-api\src\shared\integration\financial-integration.service.ts
paises,impuesto_principal_nombre,apps\erp-api\src\modules\cpe\fiscal-adapter.service.ts
paises,impuesto_principal_porcentaje,apps\erp-api\src\modules\cpe\fiscal-adapter.service.ts
pedidos_venta,razon_social,apps\erp-api\src\modules\ventas\pedidos\pedidos.service.ts
request_logs,endpoint,apps\erp-api\src\shared\security\adaptive-rate-limit.service.ts
request_logs,user_id,apps\erp-api\src\shared\security\adaptive-rate-limit.service.ts
solicitudes,dias,apps\erp-api\src\modules\rrhh\rrhh.service.ts
supervisor_pins,hash_pin,apps\erp-api\src\modules\cajas\services\cash-authorization.service.ts
tenants,cpe_pendiente,apps\erp-api\tests\e2e\pos-e2e.test.ts
tenants,precio,apps\erp-api\tests\e2e\inventario-e2e.test.ts
tenants,stock_actual,apps\erp-api\tests\e2e\inventario-e2e.test.ts
tenants,stock_reservado,apps\erp-api\tests\e2e\inventario-e2e.test.ts
user_roles,nombre,apps\erp-api\src\modules\auth\auth.service.ts
user_sessions,email,apps\erp-api\src\modules\usuarios\user-management.service.ts
users,rol,apps\erp-api\src\modules\cajas\services\cash-authorization.service.ts
users,rol,apps\erp-api\src\modules\cajas\services\cash-concurrency.service.ts
usuarios_sistema,apellidos,apps\erp-api\src\modules\ventas\pedidos\pedidos.service.ts
usuarios_sistema,nombres,apps\erp-api\src\modules\ventas\pedidos\pedidos.service.ts
venta_detalles,cantidad,apps\erp-api\src\modules\analytics.controller.ts
venta_detalles,precio_unitario,apps\erp-api\src\modules\analytics.controller.ts
venta_detalles,producto_id,apps\erp-api\src\modules\analytics.controller.ts
ventas,total,apps\erp-api\src\modules\analytics.controller.ts
ventas,total,apps\erp-api\src\shared\integration\financial-integration.service.ts
