table,column
cxc_pagos,retencionmonto
empresa_config,base64
empresa_config,bytes
empresa_config,onconflict
gre_detalles,gre_id
integration_logs,fechatraslado
integration_logs,null
libro_retenciones,hardening
movimientos_inventario,error
pagos_ventas,metodo_pago
pedidos_venta,null
producto_precios_sucursal,producto_id
producto_stock_sucursal,producto_id
rate_limit_baselines,onconflict
registro_consignaciones,fecha_registro
rma_items,detalle_id
sire_registros_detalle,cpe_id
supervisor_pins,usuario_id
ventas,fecha
